Name, Title, URL, Total Datasets, Harvest Job Count, Last Harvest Job Status, Errors (Last Job), Datasets Added (Last Job), Job URL, Job Created, Gather Started, Gather Finished, Job Finished 
"nodc-waf-iso","NODC WAF (ISO)","http://data.nodc.noaa.gov/nodc/archive/metadata/approved/iso/","28232","7","Finished","125","12","https://50.19.237.244/harvest/nodc-waf-iso/job/cdd3aad7-96dd-4e27-b29d-168e586efe2c","2015-07-23 15:30:03.788770","2015-07-23 15:30:09.896910","2015-07-23 15:34:06.318781","2015-07-24 02:15:26.247287"
"coris-fgdc-metadata","CoRIS FGDC Metadata","http://www.coris.noaa.gov/metadata/records/xml/","5231","7","Finished","93","3","https://50.19.237.244/harvest/coris-fgdc-metadata/job/2ee06b62-1aba-4b45-b9d2-64ba347d43d1","2015-07-23 15:33:03.545759","2015-07-23 15:37:22.940970","2015-07-23 15:37:30.554707","2015-07-24 07:16:24.809739"
"uaf-waf","UAF WAF","http://ferret.pmel.noaa.gov/uafwaf/iso/","4381","7","Finished","60","8","https://50.19.237.244/harvest/uaf-waf/job/24807be8-4252-4395-aeb1-034db39b9db9","2015-07-23 15:33:03.676176","2015-07-23 15:36:30.447234","2015-07-23 15:37:22.227760","2015-07-24 07:10:05.482106"
"ngdc-nos-h00001-h02000-waf","NGDC NOS H00001-H02000 WAF","http://www.ngdc.noaa.gov/metadata/published/NOAA/NESDIS/NGDC/MGG/NOS/H00001-H02000/iso/xml","2747","7","Finished","1","0","https://50.19.237.244/harvest/ngdc-nos-h00001-h02000-waf/job/eb8382cf-b4c4-4a0b-bf9d-fb18f2cd53fd","2015-07-23 15:33:03.795503","2015-07-23 15:36:25.873251","2015-07-23 15:36:30.436970","None"
"ngdc-nos-h02001-h04000-waf","NGDC NOS H02001-H04000 WAF","http://www.ngdc.noaa.gov/metadata/published/NOAA/NESDIS/NGDC/MGG/NOS/H02001-H04000/iso/xml","2269","7","Finished","1","0","https://50.19.237.244/harvest/ngdc-nos-h02001-h04000-waf/job/12839cec-9088-46fd-8ae3-dee1986f6943","2015-07-23 15:33:03.913009","2015-07-23 15:36:22.091563","2015-07-23 15:36:25.855476","None"
"ngdc-nos-h04001-h06000-waf","NGDC NOS H04001-H06000 WAF","http://www.ngdc.noaa.gov/metadata/published/NOAA/NESDIS/NGDC/MGG/NOS/H04001-H06000/iso/xml","2227","7","Finished","1","0","https://50.19.237.244/harvest/ngdc-nos-h04001-h06000-waf/job/f37dba31-6e87-4e9b-b6da-148a228309f5","2015-07-23 15:33:04.099211","2015-07-23 15:36:18.369529","2015-07-23 15:36:22.073381","None"
"ngdc-nos-h08001-h10000-waf","NGDC NOS H08001-H10000 WAF","http://www.ngdc.noaa.gov/metadata/published/NOAA/NESDIS/NGDC/MGG/NOS/H08001-H10000/iso/xml","2170","7","Finished","1","0","https://50.19.237.244/harvest/ngdc-nos-h08001-h10000-waf/job/e069121b-d69e-4faf-862a-f3510e0b51a5","2015-07-23 15:33:04.271831","2015-07-23 15:36:14.321148","2015-07-23 15:36:18.360009","None"
"ngdc-nos-h06001-h08000-waf","NGDC NOS H06001-H08000 WAF","http://www.ngdc.noaa.gov/metadata/published/NOAA/NESDIS/NGDC/MGG/NOS/H06001-H08000/iso/xml","2092","7","Finished","1","0","https://50.19.237.244/harvest/ngdc-nos-h06001-h08000-waf/job/931f7c12-b831-4075-9abd-5abb2d4602a2","2015-07-23 15:33:04.440495","2015-07-23 15:36:10.448597","2015-07-23 15:36:14.306881","None"
"ngdc-nos-l00001-l02000-waf","NGDC NOS L00001-L02000 WAF","http://www.ngdc.noaa.gov/metadata/published/NOAA/NESDIS/NGDC/MGG/NOS/L00001-L02000/iso/xml","2049","7","Finished","1","0","https://50.19.237.244/harvest/ngdc-nos-l00001-l02000-waf/job/9cbe52f4-7c20-48f2-ab67-16ec4de6cabb","2015-07-23 15:33:04.623681","2015-07-23 15:36:07.020169","2015-07-23 15:36:10.439348","None"
"ngdc-nos-h10001-h12000-waf","NGDC NOS H10001-H12000 WAF","http://www.ngdc.noaa.gov/metadata/published/NOAA/NESDIS/NGDC/MGG/NOS/H10001-H12000/iso/xml","1880","7","Finished","1","0","https://50.19.237.244/harvest/ngdc-nos-h10001-h12000-waf/job/60b2db7b-2007-48c7-9bc2-95db9ec21cce","2015-07-23 15:33:04.805211","2015-07-23 15:36:04.362313","2015-07-23 15:36:07.008902","None"
